CME IDX,FLARE_IDX,Other associations,SEP_IDX,GOES Flare Class,GOES Estimated Flare Class for STIX,Start Time (Observer),Observer,Start time (1 AU),Start time (Sun),Central Position Angle (degrees),Angular Width (degrees),Speed (km/s),Acceleration (m/s2),Mass (g),Kinetic Energy (erg)
CME0000,,,SEP0010,,,2021-07-13 19:00:05,LASCO,2021-07-13 19:00:05,2021-07-13 18:51:45,Halo,360,1101,-54.5*,5.2e+15*,3.1e+31*
CME0001,FLARE0001,,SEP0011,,M5,2021-07-15 21:36:05,LASCO,2021-07-15 21:36:05,2021-07-15 21:27:45,Halo,360,1476,-60.3,1.3e+16*,1.4e+32*
CME0002,,,SEP0012,,,2021-07-17 05:24:05,LASCO,2021-07-17 05:24:05,2021-07-17 05:15:45,Halo,360,1228,-43.6,6.6e+15*,5.0e+31*
CME0003,,,,,,2021-08-29 20:24:05,LASCO,2021-08-29 20:24:05,2021-08-29 20:15:45,259,87,1060,-1.1,1.4e+15,8.0e+30
CME0004,,,SEP0013,,,2021-09-17 04:28:22,LASCO,2021-09-17 04:28:22,2021-09-17 04:20:02,174,264,1349,-106.7,3.9e+15*,3.5e+31*
CME0005,,,,,,2021-09-26 03:12:09,LASCO,2021-09-26 03:12:09,2021-09-26 03:03:49,253,36,1046,21.8,3.4e+14,1.9e+30
CME0006,FLARE0002,,SEP0016,X1.0,,2021-10-28 15:48:05,LASCO,2021-10-28 15:48:05,2021-10-28 15:39:45,Halo,360,1519,-61.1,2.9e+16*,3.3e+32*
CME0007,,,,,,2021-10-29 19:00:05,LASCO,2021-10-29 19:00:05,2021-10-29 18:51:45,245,54,1005,21.2,1.6e+15,8.3e+30
CME0008,,,,,,2021-11-02 02:48:05,LASCO,2021-11-02 02:48:05,2021-11-02 02:39:45,Halo,360,1473,-31.1,6.1e+15*,6.6e+31*
CME0009,,,SEP0018,,,2021-11-09 16:48:06,LASCO,2021-11-09 16:48:06,2021-11-09 16:39:46,279,176,1350,-25.7,6.9e+15*,6.3e+31*
CME0010,,,,,,2022-01-01 17:48:05,LASCO,2022-01-01 17:48:05,2022-01-01 17:39:45,327,77,1013,21.6*,2.7e+15,1.4e+31
CME0011,,,,,,2022-01-09 23:12:06,LASCO,2022-01-09 23:12:06,2022-01-09 23:03:46,Halo,360,1283,-1.2,3.1e+15*,2.6e+31*
CME0012,,,,,,2022-01-10 23:33:47,LASCO,2022-01-10 23:33:47,2022-01-10 23:25:27,166,273,1236,64.9,3.4e+15*,2.6e+31*
